------------------------------------------------------------
 Electron Density
------------------------------------------------------------
Distance (nm), Carrier Density (/cm3)
              -3.318,                    0
              -2.171,                    0
               -2.02,                    0
                  -2,                    0
               -1.99,                    0
              -1.975,                    0
              -1.954,                    0
              -1.922,                    0
              -1.874,                    0
              -1.805,                    0
              -1.702,                    0
              -1.551,                    0
              -1.328,                    0
                  -1,                    0
             -0.6717,                    0
             -0.4489,                    0
             -0.2978,                    0
             -0.1952,                    0
             -0.1257,                    0
            -0.07849,                    0
            -0.04646,                    0
            -0.02474,                    0
               -0.01,                    0
          -5.759e-16,                    0
                0.02,                    0
             0.03994,                    0
             0.05983,                    0
             0.07967,                    0
             0.09945,                    0
              0.1192,                    0
              0.1388,                    0
              0.1585,                    0
               0.178,                    0
              0.1975,                    0
               0.217,                    0
              0.2364,                    0
              0.2557,                    0
               0.275,                    0
              0.2942,                    0
              0.3134,                    0
              0.3326,                    0
              0.3516,                    0
              0.3707,                    0
              0.3896,                    0
              0.4085,                    0
              0.4274,                    0
              0.4462,                    0
               0.465,                    0
              0.4837,                    0
              0.5023,                    0
               0.521,                    0
              0.5395,                    0
               0.558,                    0
              0.5765,                    0
              0.5949,                    0
              0.6132,                    0
              0.6315,                    0
              0.6498,                    0
               0.668,                    0
              0.6861,                    0
              0.7042,                    0
              0.7222,                    0
              0.7402,                    0
              0.7582,                    0
              0.7761,                    0
              0.7939,                    0
              0.8117,                    0
              0.8295,                    0
              0.8472,                    0
              0.8648,                    0
              0.8824,                    0
                 0.9,                    0
              0.9175,                    0
              0.9349,                    0
              0.9523,                    0
              0.9697,                    0
               0.987,                    0
               1.004,                    0
               1.021,                    0
               1.039,                    0
               1.056,                    0
               1.073,                    0
                1.09,                    0
               1.107,                    0
               1.124,                    0
               1.141,                    0
               1.157,                    0
               1.174,                    0
               1.191,                    0
               1.208,                    0
               1.224,                    0
               1.241,                    0
               1.257,                    0
               1.274,                    0
                1.29,                    0
               1.307,                    0
               1.323,                    0
                1.34,                    0
               1.356,                    0
               1.372,                    0
               1.388,                    0
               1.404,                    0
               1.421,                    0
               1.437,                    0
               1.453,                    0
               1.469,                    0
               1.484,                    0
                 1.5,                    0
               1.516,                    0
               1.532,                    0
               1.548,                    0
               1.563,                    0
               1.579,                    0
               1.595,                    0
                1.61,                    0
               1.626,                    0
               1.641,                    0
               1.657,                    0
               1.672,                    0
               1.687,                    0
               1.703,                    0
               1.718,                    0
               1.733,                    0
               1.748,                    0
               1.764,                    0
               1.779,                    0
               1.794,                    0
               1.809,                    0
               1.824,                    0
               1.839,                    0
               1.854,                    0
               1.868,                    0
               1.883,                    0
               1.898,                    0
               1.913,                    0
               1.927,                    0
               1.942,                    0
               1.957,                    0
               1.971,                    0
               1.986,                    0
                   2,                    0
               2.015,                    0
               2.029,                    0
               2.044,                    0
               2.058,                    0
               2.072,                    0
               2.086,                    0
               2.101,                    0
               2.115,                    0
               2.129,                    0
               2.143,                    0
               2.157,                    0
               2.171,                    0
               2.185,                    0
               2.199,                    0
               2.213,                    0
               2.227,                    0
               2.241,                    0
               2.254,                    0
               2.268,                    0
               2.282,                    0
               2.295,                    0
               2.309,                    0
               2.323,                    0
               2.336,                    0
                2.35,                    0
               2.363,                    0
               2.377,                    0
                2.39,                    0
               2.403,                    0
               2.417,                    0
                2.43,                    0
               2.443,                    0
               2.457,                    0
                2.47,                    0
               2.483,                    0
               2.496,                    0
               2.509,                    0
               2.522,                    0
               2.535,                    0
               2.548,                    0
               2.561,                    0
               2.574,                    0
               2.587,                    0
               2.599,                    0
               2.612,                    0
               2.625,                    0
               2.638,                    0
                2.65,                    0
               2.663,                    0
               2.676,                    0
               2.688,                    0
               2.701,                    0
               2.713,                    0
               2.726,                    0
               2.738,                    0
               2.751,                    0
               2.763,                    0
               2.775,                    0
               2.788,                    0
                 2.8,                    0
               2.812,                    0
               2.824,                    0
               2.836,                    0
               2.849,                    0
               2.861,                    0
               2.873,                    0
               2.885,                    0
               2.897,                    0
               2.909,                    0
               2.921,                    0
               2.932,                    0
               2.944,                    0
               2.956,                    0
               2.968,                    0
                2.98,                    0
               2.991,                    0
               3.003,                    0
               3.015,                    0
               3.026,                    0
               3.038,                    0
                3.05,                    0
               3.061,                    0
               3.073,                    0
               3.084,                    0
               3.096,                    0
               3.107,                    0
               3.118,                    0
                3.13,                    0
               3.141,                    0
               3.152,                    0
               3.163,                    0
               3.175,                    0
               3.186,                    0
               3.197,                    0
               3.208,                    0
               3.219,                    0
                3.23,                    0
               3.241,                    0
               3.252,                    0
               3.263,                    0
               3.274,                    0
               3.285,                    0
               3.296,                    0
               3.307,                    0
               3.318,                    0
               3.329,                    0
               3.339,                    0
                3.35,                    0
               3.361,                    0
               3.371,                    0
               3.382,                    0
               3.393,                    0
               3.403,                    0
               3.414,                    0
               3.424,                    0
               3.435,                    0
               3.445,                    0
               3.456,                    0
               3.466,                    0
               3.476,                    0
               3.487,                    0
               3.497,                    0
               3.507,                    0
               3.518,                    0
               3.528,                    0
               3.538,                    0
               3.548,                    0
               3.558,                    0
               3.569,                    0
               3.579,                    0
               3.589,                    0
               3.599,                    0
               3.609,                    0
               3.619,                    0
               3.629,                    0
               3.639,                    0
               3.649,                    0
               3.658,                    0
               3.668,                    0
               3.678,                    0
               3.688,                    0
               3.698,                    0
               3.707,                    0
               3.717,                    0
               3.727,                    0
               3.736,                    0
               3.746,                    0
               3.756,                    0
               3.765,                    0
               3.775,                    0
               3.784,                    0
               3.794,                    0
               3.803,                    0
               3.813,                    0
               3.822,                    0
               3.831,                    0
               3.841,                    0
                3.85,                    0
                3.86,                    0
               3.869,                    0
               3.878,                    0
               3.887,                    0
               3.896,                    0
               3.906,                    0
               3.915,                    0
               3.924,                    0
               3.933,                    0
               3.942,                    0
               3.951,                    0
                3.96,                    0
               3.969,                    0
               3.978,                    0
               3.987,                    0
               3.996,                    0
               4.005,                    0
               4.014,                    0
               4.023,                    0
               4.032,                    0
                4.04,                    0
               4.049,                    0
               4.058,                    0
               4.067,                    0
               4.075,                    0
               4.084,                    0
               4.093,                    0
               4.101,                    0
                4.11,                    0
               4.119,                    0
               4.127,                    0
               4.136,                    0
               4.144,                    0
               4.153,                    0
               4.161,                    0
                4.17,                    0
               4.178,                    0
               4.186,                    0
               4.195,                    0
               4.203,                    0
               4.212,                    0
                4.22,                    0
               4.228,                    0
               4.236,                    0
               4.245,                    0
               4.253,                    0
               4.261,                    0
               4.269,                    0
               4.277,                    0
               4.285,                    0
               4.294,                    0
               4.302,                    0
                4.31,                    0
               4.318,                    0
               4.326,                    0
               4.334,                    0
               4.342,                    0
                4.35,                    0
               4.358,                    0
               4.365,                    0
               4.373,                    0
               4.381,                    0
               4.389,                    0
               4.397,                    0
               4.405,                    0
               4.412,                    0
                4.42,                    0
               4.428,                    0
               4.436,                    0
               4.443,                    0
               4.451,                    0
               4.459,                    0
               4.466,                    0
               4.474,                    0
               4.481,                    0
               4.489,                    0
               4.497,                    0
               4.504,                    0
               4.512,                    0
               4.519,                    0
               4.526,                    0
               4.534,                    0
               4.541,                    0
               4.549,                    0
               4.556,                    0
               4.563,                    0
               4.571,                    0
               4.578,                    0
               4.585,                    0
               4.593,                    0
                 4.6,                    0
               4.607,                    0
               4.614,                    0
               4.622,                    0
               4.629,                    0
               4.636,                    0
               4.643,                    0
                4.65,                    0
               4.657,                    0
               4.664,                    0
               4.671,                    0
               4.678,                    0
               4.685,                    0
               4.692,                    0
               4.699,                    0
               4.706,                    0
               4.713,                    0
                4.72,                    0
               4.727,                    0
               4.734,                    0
               4.741,                    0
               4.748,                    0
               4.754,                    0
               4.761,                    0
               4.768,                    0
               4.775,                    0
               4.781,                    0
               4.788,                    0
               4.795,                    0
               4.802,                    0
               4.808,                    0
               4.815,                    0
               4.822,                    0
               4.828,                    0
               4.835,                    0
               4.841,                    0
               4.848,                    0
               4.854,                    0
               4.861,                    0
               4.867,                    0
               4.874,                    0
                4.88,                    0
