eDensity_Vg=0.15V X,eDensity_Vg=0.15V Y,eDensity_Vg=0.3V X,eDensity_Vg=0.3V Y,eDensity_Vg=0.45V X,eDensity_Vg=0.45V Y,eDensity_Vg=0V X,eDensity_Vg=0V Y
-0.015,0,-0.015,0,-0.015,0,-0.015,0
-0.014995273,0,-0.014995273,0,-0.014995273,0,-0.014995273,0
-0.014992188,0,-0.014992188,0,-0.014992188,0,-0.014992188,0
-0.014947281,0,-0.014947281,0,-0.014947281,0,-0.014947281,0
-0.014917969,0,-0.014917969,0,-0.014917969,0,-0.014917969,0
-0.014873062,0,-0.014873062,0,-0.014873062,0,-0.014873062,0
-0.01484375,0,-0.01484375,0,-0.01484375,0,-0.01484375,0
-0.014798843,0,-0.014798843,0,-0.014798843,0,-0.014798843,0
-0.014769531,0,-0.014769531,0,-0.014769531,0,-0.014769531,0
-0.014724625,0,-0.014724625,0,-0.014724625,0,-0.014724625,0
-0.014695313,0,-0.014695313,0,-0.014695313,0,-0.014695313,0
-0.014650406,0,-0.014650406,0,-0.014650406,0,-0.014650406,0
-0.014621094,0,-0.014621094,0,-0.014621094,0,-0.014621094,0
-0.014576187,0,-0.014576187,0,-0.014576187,0,-0.014576187,0
-0.014546875,0,-0.014546875,0,-0.014546875,0,-0.014546875,0
-0.014501968,0,-0.014501968,0,-0.014501968,0,-0.014501968,0
-0.014472656,0,-0.014472656,0,-0.014472656,0,-0.014472656,0
-0.01442775,0,-0.01442775,0,-0.01442775,0,-0.01442775,0
-0.014398438,0,-0.014398438,0,-0.014398438,0,-0.014398438,0
-0.014353531,0,-0.014353531,0,-0.014353531,0,-0.014353531,0
-0.014324219,0,-0.014324219,0,-0.014324219,0,-0.014324219,0
-0.014279312,0,-0.014279312,0,-0.014279312,0,-0.014279312,0
-0.01425,0,-0.01425,0,-0.01425,0,-0.01425,0
-0.014205093,0,-0.014205093,0,-0.014205093,0,-0.014205093,0
-0.014175781,0,-0.014175781,0,-0.014175781,0,-0.014175781,0
-0.014130875,0,-0.014130875,0,-0.014130875,0,-0.014130875,0
-0.014101562,0,-0.014101562,0,-0.014101562,0,-0.014101562,0
-0.014056657,0,-0.014056657,0,-0.014056657,0,-0.014056657,0
-0.014027344,0,-0.014027344,0,-0.014027344,0,-0.014027344,0
-0.0140108,0,-0.0140108,0,-0.0140108,0,-0.0140108,0
-0.014,0,-0.014,0,-0.014,0,-0.014,0
-0.014,8.5400487e+15,-0.014,1.69426e+17,-0.014,7.9240888e+17,-0.014,4.0035075e+13
-0.013971638,8.7330491e+15,-0.013971638,1.7321127e+17,-0.013971638,8.0986678e+17,-0.013971638,4.0941995e+13
-0.013953125,8.8586959e+15,-0.013953125,1.7568113e+17,-0.013953125,8.2126803e+17,-0.013953125,4.1531451e+13
-0.013863312,9.3691446e+15,-0.013863312,1.8561138e+17,-0.013863312,8.6659257e+17,-0.013863312,4.3933299e+13
-0.013804687,9.7014581e+15,-0.013804687,1.9209083e+17,-0.013804687,8.9619295e+17,-0.013804687,4.54944e+13
-0.013714875,1.0447777e+16,-0.013714875,2.0637779e+17,-0.013714875,9.6005441e+17,-0.013714875,4.9015319e+13
-0.01365625,1.093365e+16,-0.01365625,2.1570008e+17,-0.01365625,1.0017615e+18,-0.01365625,5.1303776e+13
-0.013476625,1.2033293e+16,-0.013476625,2.3623866e+17,-0.013476625,1.0906305e+18,-0.013476625,5.6512341e+13
-0.013359375,1.2749208e+16,-0.013359375,2.496404e+17,-0.013359375,1.1486711e+18,-0.013359375,5.9897821e+13
-0.01317975,1.4798022e+16,-0.01317975,2.8609655e+17,-0.01317975,1.2963755e+18,-0.01317975,6.9676949e+13
-0.0130625,1.5885958e+16,-0.0130625,3.0565855e+17,-0.0130625,1.3765917e+18,-0.0130625,7.4854623e+13
-0.012828001,1.7643512e+16,-0.012828001,3.3509911e+17,-0.012828001,1.4859976e+18,-0.012828001,8.333987e+13
-0.01246875,1.9965286e+16,-0.01246875,3.7376981e+17,-0.01246875,1.6290735e+18,-0.01246875,9.4581503e+13
-0.012289125,2.204391e+16,-0.012289125,4.0433803e+17,-0.012289125,1.7219787e+18,-0.012289125,1.0480226e+14
-0.011875,2.6158237e+16,-0.011875,4.660768e+17,-0.011875,1.9148311e+18,-0.011875,1.2492477e+14
-0.01104675,3.26689e+16,-0.01104675,5.4675103e+17,-0.01104675,2.0886447e+18,-0.01104675,1.5766075e+14
-0.0106875,3.5182086e+16,-0.0106875,5.7760868e+17,-0.0106875,2.1543469e+18,-0.0106875,1.7034148e+14
-0.010507875,3.6655119e+16,-0.010507875,5.9076363e+17,-0.010507875,2.1610807e+18,-0.010507875,1.7808751e+14
-0.0094999997,4.4623955e+16,-0.0094999997,6.6194257e+17,-0.0094999997,2.1946809e+18,-0.0094999997,2.1977319e+14
-0.0093203746,4.5955886e+16,-0.0093203746,6.6870998e+17,-0.0093203746,2.173818e+18,-0.0093203746,2.271448e+14
-0.0083125001,5.3359862e+16,-0.0083125001,7.0678354e+17,-0.0083125001,2.0576594e+18,-0.0083125001,2.678211e+14
-0.008132875,5.4798964e+16,-0.008132875,7.0673501e+17,-0.008132875,2.0053894e+18,-0.008132875,2.7643136e+14
-0.007125,6.2123603e+16,-0.007125,7.1003046e+17,-0.007125,1.7493397e+18,-0.007125,3.1947374e+14
-0.0051092505,6.8890519e+16,-0.0051092505,6.6719072e+17,-0.0051092505,1.3632492e+18,-0.0051092505,3.6437198e+14
-0.0047499998,6.9989393e+16,-0.0047499998,6.6013526e+17,-0.0047499998,1.3010827e+18,-0.0047499998,3.7183848e+14
-0.0045703747,7.0295281e+16,-0.0045703747,6.5535971e+17,-0.0045703747,1.2759964e+18,-0.0045703747,3.7427004e+14
-0.0023749999,7.3976221e+16,-0.0023749999,5.9750593e+17,-0.0023749999,9.7010433e+17,-0.0023749999,4.0272332e+14
-0.0021953748,7.4059022e+16,-0.0021953748,5.9544968e+17,-0.0021953748,9.6131742e+17,-0.0021953748,4.0348635e+14
0,7.5058276e+16,0,5.7051016e+17,0,8.5411629e+17,0,4.1240733e+14
0.00017962522,7.4975346e+16,0.00017962522,5.7256296e+17,0.00017962522,8.6292541e+17,0.00017962522,4.1164266e+14
0.0023749999,7.3976603e+16,0.0023749999,5.9746375e+17,0.0023749999,9.703337e+17,0.0023749999,4.0272773e+14
0.002554625,7.3673115e+16,0.002554625,6.022312e+17,0.002554625,9.9533028e+17,0.002554625,4.0028447e+14
0.0047499998,7.0038775e+16,0.0047499998,6.5999923e+17,0.0047499998,1.3000578e+18,0.0047499998,3.7203716e+14
0.0051092505,6.8938739e+16,0.0051092505,6.6699761e+17,0.0051092505,1.3621133e+18,0.0051092505,3.6462583e+14
0.007125,6.2140875e+16,0.007125,7.0932311e+17,0.007125,1.746786e+18,0.007125,3.1973329e+14
0.0073046251,6.0708622e+16,0.0073046251,7.0941243e+17,0.0073046251,1.798987e+18,0.0073046251,3.1115129e+14
0.0083125001,5.3431689e+16,0.0083125001,7.0671588e+17,0.0083125001,2.0559324e+18,0.0083125001,2.6825475e+14
0.0084921252,5.2133568e+16,0.0084921252,7.0028623e+17,0.0084921252,2.0770193e+18,0.0084921252,2.6103477e+14
0.0094999997,4.4923215e+16,0.0094999997,6.641311e+17,0.0094999997,2.194758e+18,0.0094999997,2.2131453e+14
0.0096796248,4.3450891e+16,0.0096796248,6.5113988e+17,0.0096796248,2.188909e+18,0.0096796248,2.1356419e+14
0.0106875,3.5267037e+16,0.0106875,5.783118e+17,0.0106875,2.1558835e+18,0.0106875,1.7075422e+14
0.01104675,3.2700821e+16,0.01104675,5.4690321e+17,0.01104675,2.0894708e+18,0.01104675,1.5781271e+14
0.011875,2.615714e+16,0.011875,4.6589812e+17,0.011875,1.9152553e+18,0.011875,1.2493697e+14
0.012054625,2.4079188e+16,0.012054625,4.3537229e+17,0.012054625,1.8224688e+18,0.012054625,1.1471103e+14
0.01246875,1.996728e+16,0.01246875,3.7376026e+17,0.01246875,1.6301987e+18,0.01246875,9.4580541e+13
0.012828001,1.7644456e+16,0.012828001,3.3505249e+17,0.012828001,1.4868273e+18,0.012828001,8.3343157e+13
0.0130625,1.5886176e+16,0.0130625,3.0557387e+17,0.0130625,1.3770688e+18,0.0130625,7.4861552e+13
0.013242126,1.3837302e+16,0.013242126,2.6912557e+17,0.013242126,1.2292924e+18,0.013242126,6.5081635e+13
0.013359375,1.2749399e+16,0.013359375,2.4957052e+17,0.013359375,1.1490595e+18,0.013359375,5.9903613e+13
0.013539,1.1649724e+16,0.013539,2.2903651e+17,0.013539,1.0601496e+18,0.013539,5.469462e+13
0.01365625,1.0933826e+16,0.01365625,2.1563954e+17,0.01365625,1.0020975e+18,0.01365625,5.130887e+13
0.013746062,1.0187484e+16,0.013746062,2.0135583e+17,0.013746062,9.3820748e+17,0.013746062,4.7787637e+13
0.013804687,9.701617e+15,0.013804687,1.9203686e+17,0.013804687,8.9649252e+17,0.013804687,4.5498951e+13
0.0138945,9.2262626e+15,0.0138945,1.8279619e+17,0.0138945,8.5431335e+17,0.0138945,4.3261924e+13
0.013953125,8.9168091e+15,0.013953125,1.7676746e+17,0.013953125,8.2677417e+17,0.013953125,4.1807931e+13
0.013981488,8.6886922e+15,0.013981488,1.7229576e+17,0.013981488,8.0614328e+17,0.013981488,4.0735885e+13
0.014,8.5401898e+15,0.014,1.6937838e+17,0.014,7.9267326e+17,0.014,4.0039095e+13
0.014,0,0.014,0,0.014,0,0.014,0
0.014016544,0,0.014016544,0,0.014016544,0,0.014016544,0
0.014027344,0,0.014027344,0,0.014027344,0,0.014027344,0
0.01407225,0,0.01407225,0,0.01407225,0,0.01407225,0
0.014101562,0,0.014101562,0,0.014101562,0,0.014101562,0
0.014146469,0,0.014146469,0,0.014146469,0,0.014146469,0
0.014175781,0,0.014175781,0,0.014175781,0,0.014175781,0
0.014220688,0,0.014220688,0,0.014220688,0,0.014220688,0
0.01425,0,0.01425,0,0.01425,0,0.01425,0
0.014294907,0,0.014294907,0,0.014294907,0,0.014294907,0
0.014324219,0,0.014324219,0,0.014324219,0,0.014324219,0
0.014369125,0,0.014369125,0,0.014369125,0,0.014369125,0
0.014398438,0,0.014398438,0,0.014398438,0,0.014398438,0
0.014443344,0,0.014443344,0,0.014443344,0,0.014443344,0
0.014472656,0,0.014472656,0,0.014472656,0,0.014472656,0
0.014517562,0,0.014517562,0,0.014517562,0,0.014517562,0
0.014546875,0,0.014546875,0,0.014546875,0,0.014546875,0
0.014591781,0,0.014591781,0,0.014591781,0,0.014591781,0
0.014621094,0,0.014621094,0,0.014621094,0,0.014621094,0
0.014666,0,0.014666,0,0.014666,0,0.014666,0
0.014695313,0,0.014695313,0,0.014695313,0,0.014695313,0
0.014740218,0,0.014740218,0,0.014740218,0,0.014740218,0
0.014769531,0,0.014769531,0,0.014769531,0,0.014769531,0
0.014814437,0,0.014814437,0,0.014814437,0,0.014814437,0
0.01484375,0,0.01484375,0,0.01484375,0,0.01484375,0
0.014888656,0,0.014888656,0,0.014888656,0,0.014888656,0
0.014917969,0,0.014917969,0,0.014917969,0,0.014917969,0
0.014962875,0,0.014962875,0,0.014962875,0,0.014962875,0
0.014992188,0,0.014992188,0,0.014992188,0,0.014992188,0
0.014996914,0,0.014996914,0,0.014996914,0,0.014996914,0
0.015,0,0.015,0,0.015,0,0.015,0

