X,ElectrostaticPotential Vg = 0V,ElectrostaticPotential Vg = 0.15V,ElectrostaticPotential Vg = 0.3V,ElectrostaticPotential Vg = 0.45V,ElectrostaticPotential Vg = 0.6V,ElectrostaticPotential Vg = 0.75V
-0.006,-0.27422377,-0.12422377,0.025776227,0.17577623,0.32577623,0.47577623
-0.0059375,-0.27422467,-0.12422522,0.025774777,0.17577476,0.32577063,0.47511515
-0.005859375,-0.2742258,-0.12422703,0.025772965,0.17577294,0.32576364,0.4742888
-0.00578125,-0.27422692,-0.12422884,0.025771153,0.17577111,0.32575665,0.47346245
-0.005703125,-0.27422805,-0.12423065,0.02576934,0.17576928,0.32574966,0.4726361
-0.005625,-0.27422917,-0.12423246,0.025767528,0.17576745,0.32574267,0.47180975
-0.005546875,-0.2742303,-0.12423427,0.025765715,0.17576562,0.32573568,0.4709834
-0.00546875,-0.27423142,-0.12423608,0.025763903,0.1757638,0.32572868,0.47015705
-0.005390625,-0.27423255,-0.12423789,0.02576209,0.17576197,0.32572169,0.46933071
-0.0053125,-0.27423368,-0.1242397,0.025760278,0.17576014,0.3257147,0.46850436
-0.005234375,-0.2742348,-0.12424151,0.025758465,0.17575831,0.32570771,0.46767801
-0.00515625,-0.27423593,-0.12424332,0.025756653,0.17575648,0.32570072,0.46685166
-0.005078125,-0.27423705,-0.12424513,0.02575484,0.17575466,0.32569373,0.46602531
-0.005,-0.27423818,-0.12424695,0.025753028,0.17575283,0.32568674,0.46519896
-0.005,-0.27423818,-0.12424695,0.025753028,0.17575283,0.32568674,0.46519896
-0.00484375,-0.27423891,-0.12424813,0.025751838,0.17575163,0.3256821,0.46464846
-0.0046875,-0.2742396,-0.12424928,0.025750687,0.17575047,0.3256775,0.46409926
-0.004375,-0.27424088,-0.12425147,0.025748497,0.17574825,0.32566846,0.46300827
-0.0040625,-0.27424202,-0.12425351,0.025746458,0.1757462,0.32565969,0.46193797
-0.00375,-0.27424303,-0.12425539,0.02574457,0.17574429,0.32565126,0.46090221
-0.003125,-0.2742447,-0.12425871,0.025741247,0.17574093,0.32563571,0.45898052
-0.0025,-0.27424596,-0.12426142,0.025738528,0.17573818,0.32562241,0.45733849
-0.001875,-0.27424689,-0.12426354,0.025736413,0.17573604,0.32561174,0.45602731
-0.00125,-0.27424754,-0.12426504,0.025734903,0.17573451,0.32560397,0.45507582
-0.000625,-0.27424791,-0.12426595,0.025733997,0.17573359,0.32559924,0.45449987
0,-0.27424803,-0.12426625,0.025733695,0.17573328,0.32559765,0.45430644
0.000625,-0.27424791,-0.12426595,0.025733997,0.17573359,0.32559922,0.45449731
0.00125,-0.27424753,-0.12426504,0.025734903,0.17573451,0.32560393,0.45507067
0.001875,-0.27424689,-0.12426354,0.025736413,0.17573604,0.32561169,0.4560195
0.0025,-0.27424596,-0.12426142,0.025738528,0.17573818,0.32562234,0.45732793
0.003125,-0.27424469,-0.12425871,0.025741247,0.17574093,0.32563562,0.45896708
0.00375,-0.27424302,-0.12425539,0.02574457,0.17574429,0.32565116,0.46088578
0.0040625,-0.27424201,-0.12425351,0.025746458,0.17574619,0.32565959,0.46192242
0.004375,-0.27424087,-0.12425147,0.025748497,0.17574825,0.32566837,0.46299358
0.0046875,-0.27423959,-0.12424928,0.025750687,0.17575046,0.32567741,0.46408543
0.00484375,-0.2742389,-0.12424813,0.025751838,0.17575163,0.32568201,0.46463528
0.005,-0.27423817,-0.12424695,0.025753028,0.17575283,0.32568665,0.46518644
0.005,-0.27423817,-0.12424695,0.025753028,0.17575283,0.32568665,0.46518644
0.005078125,-0.27423704,-0.12424513,0.02575484,0.17575466,0.32569365,0.46601376
0.00515625,-0.27423592,-0.12424332,0.025756653,0.17575648,0.32570065,0.46684109
0.005234375,-0.27423479,-0.12424151,0.025758465,0.17575831,0.32570765,0.46766842
0.0053125,-0.27423367,-0.1242397,0.025760278,0.17576014,0.32571465,0.46849575
0.005390625,-0.27423254,-0.12423789,0.02576209,0.17576197,0.32572164,0.46932307
0.00546875,-0.27423142,-0.12423608,0.025763903,0.1757638,0.32572864,0.4701504
0.005546875,-0.27423029,-0.12423427,0.025765715,0.17576562,0.32573564,0.47097773
0.005625,-0.27422917,-0.12423246,0.025767528,0.17576745,0.32574264,0.47180506
0.005703125,-0.27422805,-0.12423065,0.02576934,0.17576928,0.32574964,0.47263238
0.00578125,-0.27422692,-0.12422884,0.025771153,0.17577111,0.32575663,0.47345971
0.005859375,-0.2742258,-0.12422703,0.025772965,0.17577294,0.32576363,0.47428704
0.0059375,-0.27422467,-0.12422522,0.025774777,0.17577476,0.32577063,0.47511437
0.006,-0.27422377,-0.12422377,0.025776227,0.17577623,0.32577623,0.47577623
