X,eDensity Vg = 0V,eDensity Vg = 0.15V,eDensity Vg = 0.3V,eDensity Vg = 0.45V,eDensity Vg = 0.6V,eDensity Vg = 0.75V
-0.006,0,0,0,0,0,0
-0.0059375,0,0,0,0,0,0
-0.005859375,0,0,0,0,0,0
-0.00578125,0,0,0,0,0,0
-0.005703125,0,0,0,0,0,0
-0.005625,0,0,0,0,0,0
-0.005546875,0,0,0,0,0,0
-0.00546875,0,0,0,0,0,0
-0.005390625,0,0,0,0,0,0
-0.0053125,0,0,0,0,0,0
-0.005234375,0,0,0,0,0,0
-0.00515625,0,0,0,0,0,0
-0.005078125,0,0,0,0,0,0
-0.005,0,0,0,0,0,0
-0.005,9503.0061,2577263.9,1.04E+09,3.45E+11,1.14E+14,2.00E+16
-0.00484375,15775.151,4644069,1.73E+09,5.72E+11,1.89E+14,3.37E+16
-0.0046875,29782.184,9263091.6,3.26E+09,1.08E+12,3.56E+14,6.43E+16
-0.004375,62922.086,20228850,6.89E+09,2.28E+12,7.52E+14,1.36E+17
-0.0040625,106393.31,34716299,1.17E+10,3.86E+12,1.27E+15,2.28E+17
-0.00375,157021.14,51829041,1.72E+10,5.69E+12,1.88E+15,3.30E+17
-0.003125,228476.74,75757290,2.50E+10,8.28E+12,2.73E+15,4.62E+17
-0.0025,281371.75,92757798,3.08E+10,1.02E+13,3.36E+15,5.47E+17
-0.001875,316488.68,1.04E+08,3.47E+10,1.15E+13,3.78E+15,5.94E+17
-0.00125,339007.75,1.12E+08,3.71E+10,1.23E+13,4.05E+15,6.21E+17
-0.000625,350948.32,1.16E+08,3.84E+10,1.27E+13,4.19E+15,6.32E+17
0,354554.48,1.17E+08,3.88E+10,1.29E+13,4.23E+15,6.35E+17
0.000625,350948.34,1.16E+08,3.84E+10,1.27E+13,4.19E+15,6.32E+17
0.00125,339007.8,1.12E+08,3.71E+10,1.23E+13,4.05E+15,6.20E+17
0.001875,316488.75,1.04E+08,3.47E+10,1.15E+13,3.78E+15,5.94E+17
0.0025,281371.83,92969306,3.08E+10,1.02E+13,3.36E+15,5.46E+17
0.003125,228476.82,75541814,2.50E+10,8.28E+12,2.73E+15,4.62E+17
0.00375,162474.37,53618221,1.78E+10,5.89E+12,1.94E+15,3.40E+17
0.0040625,106393.35,34955407,1.17E+10,3.86E+12,1.27E+15,2.28E+17
0.004375,62922.112,20452247,6.89E+09,2.28E+12,7.52E+14,1.36E+17
0.0046875,31618.67,9985860.4,3.46E+09,1.15E+12,3.78E+14,6.83E+16
0.00484375,15775.156,4684399.7,1.73E+09,5.72E+11,1.89E+14,3.36E+16
0.005,9503.0086,2587854.2,1.04E+09,3.45E+11,1.14E+14,2.00E+16
0.005,0,0,0,0,0,0
0.005078125,0,0,0,0,0,0
0.00515625,0,0,0,0,0,0
0.005234375,0,0,0,0,0,0
0.0053125,0,0,0,0,0,0
0.005390625,0,0,0,0,0,0
0.00546875,0,0,0,0,0,0
0.005546875,0,0,0,0,0,0
0.005625,0,0,0,0,0,0
0.005703125,0,0,0,0,0,0
0.00578125,0,0,0,0,0,0
0.005859375,0,0,0,0,0,0
0.0059375,0,0,0,0,0,0
0.006,0,0,0,0,0,0
