ElectrostaticPotential_Vg=0.15V X,ElectrostaticPotential_Vg=0.15V Y,ElectrostaticPotential_Vg=0.3V X,ElectrostaticPotential_Vg=0.3V Y,ElectrostaticPotential_Vg=0.45V X,ElectrostaticPotential_Vg=0.45V Y,ElectrostaticPotential_Vg=0.6V X,ElectrostaticPotential_Vg=0.6V Y,ElectrostaticPotential_Vg=0V X,ElectrostaticPotential_Vg=0V Y
-0.0060000001,0.14177623,-0.0060000001,0.29177623,-0.0060000001,0.44177623,-0.0060000001,0.59177623,-0.0060000001,-0.0082237725
-0.005946367,0.14477726,-0.005946367,0.29361382,-0.005946367,0.44207312,-0.005946367,0.58904438,-0.005946367,-0.0041218204
-0.0059374999,0.14527889,-0.0059374999,0.29392123,-0.0059374999,0.44212401,-0.0059374999,0.58859354,-0.0059374999,-0.0034363557
-0.0058704587,0.14902949,-0.0058704587,0.29621779,-0.0058704587,0.44249496,-0.0058704587,0.58517871,-0.0058704587,0.0016901342
-0.005859375,0.14965641,-0.005859375,0.29660197,-0.005859375,0.44255855,-0.005859375,0.58461516,-0.005859375,0.0025468064
-0.0057923337,0.15340527,-0.0057923337,0.29889747,-0.0057923337,0.44292911,-0.0057923337,0.58120029,-0.0057923337,0.0076709205
-0.0057812501,0.1540319,-0.0057812501,0.29928147,-0.0057812501,0.44299263,-0.0057812501,0.58063672,-0.0057812501,0.0085271961
-0.0057142088,0.15777805,-0.0057142088,0.3015753,-0.0057142088,0.44336257,-0.0057142088,0.57722177,-0.0057142088,0.013647615
-0.0057031251,0.15840423,-0.0057031251,0.30195902,-0.0057031251,0.44342599,-0.0057031251,0.5766582,-0.0057031251,0.014503273
-0.0056360839,0.16214671,-0.0056360839,0.30425059,-0.0056360839,0.4437951,-0.0056360839,0.57324314,-0.0056360839,0.019618676
-0.0056250002,0.16277227,-0.0056250002,0.30463393,-0.0056250002,0.44385838,-0.0056250002,0.57267955,-0.0056250002,0.020473498
-0.0055579585,0.16651011,-0.0055579585,0.30692264,-0.0055579585,0.44422644,-0.0055579585,0.56926436,-0.0055579585,0.025582564
-0.0055468748,0.1671349,-0.0055468748,0.30730551,-0.0055468748,0.44428954,-0.0055468748,0.56870075,-0.0055468748,0.026436331
-0.0054798336,0.17086713,-0.0054798336,0.30959076,-0.0054798336,0.44465634,-0.0054798336,0.56528541,-0.0054798336,0.031537737
-0.0054687499,0.17149099,-0.0054687499,0.30997306,-0.0054687499,0.44471922,-0.0054687499,0.56472177,-0.0054687499,0.032390231
-0.0054017087,0.17521663,-0.0054017087,0.31225426,-0.0054017087,0.44508453,-0.0054017087,0.56130625,-0.0054017087,0.037482649
-0.005390625,0.1758394,-0.005390625,0.31263588,-0.005390625,0.44514717,-0.005390625,0.56074257,-0.005390625,0.038333653
-0.0053235837,0.17955749,-0.0053235837,0.31491243,-0.0053235837,0.44551076,-0.0053235837,0.55732684,-0.0053235837,0.043415749
-0.0053125001,0.18017901,-0.0053125001,0.31529328,-0.0053125001,0.44557311,-0.0053125001,0.55676314,-0.0053125001,0.044265048
-0.0052454588,0.18388854,-0.0052454588,0.31756456,-0.0052454588,0.44593477,-0.0052454588,0.55334718,-0.0052454588,0.049335471
-0.0052343751,0.18450866,-0.0052343751,0.31794455,-0.0052343751,0.4459968,-0.0052343751,0.55278343,-0.0052343751,0.050182855
-0.0051673339,0.18820864,-0.0051673339,0.32020994,-0.0051673339,0.4463563,-0.0051673339,0.54936722,-0.0051673339,0.055240228
-0.0051562502,0.18882721,-0.0051562502,0.32058897,-0.0051562502,0.44641798,-0.0051562502,0.54880343,-0.0051562502,0.056085493
-0.0050892085,0.19251659,-0.0050892085,0.32284785,-0.0050892085,0.44677509,-0.0050892085,0.54538696,-0.0050892085,0.061128396
-0.0050781248,0.19313346,-0.0050781248,0.32322583,-0.0050781248,0.44683639,-0.0050781248,0.54482311,-0.0050781248,0.061971344
-0.0050110836,0.19681115,-0.0050110836,0.32547751,-0.0050110836,0.44719085,-0.0050110836,0.54140637,-0.0050110836,0.066998283
-0.0049999999,0.19742618,-0.0049999999,0.32585436,-0.0049999999,0.44725173,-0.0049999999,0.54084246,-0.0049999999,0.067838732
-0.0049999999,0.19742618,-0.0049999999,0.32585436,-0.0049999999,0.44725173,-0.0049999999,0.54084246,-0.0049999999,0.067838732
