ElectrostaticPotential_Vg=0.15V X,ElectrostaticPotential_Vg=0.15V Y,ElectrostaticPotential_Vg=0.3V X,ElectrostaticPotential_Vg=0.3V Y,ElectrostaticPotential_Vg=0.45V X,ElectrostaticPotential_Vg=0.45V Y,ElectrostaticPotential_Vg=0.6V X,ElectrostaticPotential_Vg=0.6V Y,ElectrostaticPotential_Vg=0.75V X,ElectrostaticPotential_Vg=0.75V Y,ElectrostaticPotential_Vg=0V X,ElectrostaticPotential_Vg=0V Y
-0.0060000001,-0.12422377,-0.0060000001,0.025776227,-0.0060000001,0.17577623,-0.0060000001,0.32577623,-0.0060000001,0.47577623,-0.0060000001,-0.27422377
-0.0059374999,-0.12422323,-0.0059374999,0.025776337,-0.0059374999,0.17577587,-0.0059374999,0.32577124,-0.0059374999,0.47511516,-0.0059374999,-0.27422227
-0.005859375,-0.12422254,-0.005859375,0.025776473,-0.005859375,0.17577542,-0.005859375,0.32576502,-0.005859375,0.47428882,-0.005859375,-0.27422038
-0.0057812501,-0.12422186,-0.0057812501,0.025776608,-0.0057812501,0.17577498,-0.0057812501,0.32575879,-0.0057812501,0.47346248,-0.0057812501,-0.2742185
-0.0057031251,-0.12422118,-0.0057031251,0.025776742,-0.0057031251,0.17577453,-0.0057031251,0.32575256,-0.0057031251,0.47263615,-0.0057031251,-0.27421662
-0.0056250002,-0.12422051,-0.0056250002,0.025776873,-0.0056250002,0.17577408,-0.0056250002,0.32574633,-0.0056250002,0.47180981,-0.0056250002,-0.27421474
-0.0055468748,-0.12421983,-0.0055468748,0.025777003,-0.0055468748,0.17577363,-0.0055468748,0.32574009,-0.0055468748,0.47098347,-0.0055468748,-0.27421287
-0.0054687499,-0.12421916,-0.0054687499,0.02577713,-0.0054687499,0.17577318,-0.0054687499,0.32573386,-0.0054687499,0.47015714,-0.0054687499,-0.274211
-0.005390625,-0.1242185,-0.005390625,0.025777253,-0.005390625,0.17577272,-0.005390625,0.32572763,-0.005390625,0.4693308,-0.005390625,-0.27420914
-0.0053125001,-0.12421784,-0.0053125001,0.025777373,-0.0053125001,0.17577227,-0.0053125001,0.32572139,-0.0053125001,0.46850446,-0.0053125001,-0.27420728
-0.0052343751,-0.12421718,-0.0052343751,0.025777488,-0.0052343751,0.1757718,-0.0052343751,0.32571516,-0.0052343751,0.46767812,-0.0052343751,-0.27420543
-0.0051562502,-0.12421653,-0.0051562502,0.025777598,-0.0051562502,0.17577134,-0.0051562502,0.32570892,-0.0051562502,0.46685179,-0.0051562502,-0.27420359
-0.0050781248,-0.12421589,-0.0050781248,0.025777703,-0.0050781248,0.17577087,-0.0050781248,0.32570268,-0.0050781248,0.46602545,-0.0050781248,-0.27420175
-0.0049999999,-0.12421526,-0.0049999999,0.025777803,-0.0049999999,0.1757704,-0.0049999999,0.32569643,-0.0049999999,0.46519911,-0.0049999999,-0.27419992
-0.0049999999,-0.12421526,-0.0049999999,0.025777803,-0.0049999999,0.1757704,-0.0049999999,0.32569643,-0.0049999999,0.46519911,-0.0049999999,-0.27419992
