eDensity_Vg=0.15V X,eDensity_Vg=0.15V Y,eDensity_Vg=0.3V X,eDensity_Vg=0.3V Y,eDensity_Vg=0.45V X,eDensity_Vg=0.45V Y,eDensity_Vg=0.6V X,eDensity_Vg=0.6V Y,eDensity_Vg=0.75V X,eDensity_Vg=0.75V Y,eDensity_Vg=0V X,eDensity_Vg=0V Y
-0.0060000001,0,-0.0060000001,0,-0.0060000001,0,-0.0060000001,0,-0.0060000001,0,-0.0060000001,0
-0.0059374999,0,-0.0059374999,0,-0.0059374999,0,-0.0059374999,0,-0.0059374999,0,-0.0059374999,0
-0.005859375,0,-0.005859375,0,-0.005859375,0,-0.005859375,0,-0.005859375,0,-0.005859375,0
-0.0057812501,0,-0.0057812501,0,-0.0057812501,0,-0.0057812501,0,-0.0057812501,0,-0.0057812501,0
-0.0057031251,0,-0.0057031251,0,-0.0057031251,0,-0.0057031251,0,-0.0057031251,0,-0.0057031251,0
-0.0056250002,0,-0.0056250002,0,-0.0056250002,0,-0.0056250002,0,-0.0056250002,0,-0.0056250002,0
-0.0055468748,0,-0.0055468748,0,-0.0055468748,0,-0.0055468748,0,-0.0055468748,0,-0.0055468748,0
-0.0054687499,0,-0.0054687499,0,-0.0054687499,0,-0.0054687499,0,-0.0054687499,0,-0.0054687499,0
-0.005390625,0,-0.005390625,0,-0.005390625,0,-0.005390625,0,-0.005390625,0,-0.005390625,0
-0.0053125001,0,-0.0053125001,0,-0.0053125001,0,-0.0053125001,0,-0.0053125001,0,-0.0053125001,0
-0.0052343751,0,-0.0052343751,0,-0.0052343751,0,-0.0052343751,0,-0.0052343751,0,-0.0052343751,0
-0.0051562502,0,-0.0051562502,0,-0.0051562502,0,-0.0051562502,0,-0.0051562502,0,-0.0051562502,0
-0.0050781248,0,-0.0050781248,0,-0.0050781248,0,-0.0050781248,0,-0.0050781248,0,-0.0050781248,0
-0.0049999999,0,-0.0049999999,0,-0.0049999999,0,-0.0049999999,0,-0.0049999999,0,-0.0049999999,0
-0.0049999999,3150053.7,-0.0049999999,1.0423958e+09,-0.0049999999,3.449332e+11,-0.0049999999,1.1367968e+14,-0.0049999999,1.9968713e+16,-0.0049999999,9524.1705
-0.00484375,5229018.5,-0.00484375,1.7303675e+09,-0.00484375,5.7259086e+11,-0.00484375,1.8872811e+14,-0.00484375,3.3657863e+16,-0.00484375,15809.589
-0.0046875002,9871774.2,-0.0046875002,3.2667513e+09,-0.0046875002,1.0809984e+12,-0.0046875002,3.5632975e+14,-0.0046875002,6.4294224e+16,-0.0046875002,29846.173
-0.004375,20856497,-0.004375,6.9018005e+09,-0.004375,2.2838713e+12,-0.004375,7.5284018e+14,-0.004375,1.3601585e+17,-0.004375,63057.097
-0.0040624999,35266336,-0.0040624999,1.1670215e+10,-0.0040624999,3.8617611e+12,-0.0040624999,1.2728769e+15,-0.0040624999,2.2768578e+17,-0.0040624999,106624.98
