Surface Bias =   0.49361490, 	, 	 
Distance along fin(cm), Electron Density(per cm3), Hole Density(per cm3)
  0.00000000,   0.00000000,   0.00000000 
  0.00000001, 1317024431115905024.00000000,  33.29996791 
  0.00000002, 1283186039374235648.00000000,  34.17804872 
  0.00000003, 1251157511666645248.00000000,  35.05297659 
  0.00000004, 1220825628052353024.00000000,  35.92388131 
  0.00000005, 1192083934853359104.00000000,  36.79002265 
  0.00000006, 1164834555864882688.00000000,  37.65066442 
  0.00000007, 1138987389351126912.00000000,  38.50507510 
  0.00000008, 1114459391991641856.00000000,  39.35252848 
  0.00000009, 1091173939215238400.00000000,  40.19230426 
  0.00000010, 1069060252780109184.00000000,  41.02368865 
  0.00000011, 1048052887673165696.00000000,  41.84597502 
  0.00000012, 1028091271439536000.00000000,  42.65846445 
  0.00000013, 1009119289942303872.00000000,  43.46046636 
  0.00000014, 991084914316208512.00000000,  44.25129908 
  0.00000015, 973939864536254464.00000000,  45.03029042 
  0.00000016, 957639305589260672.00000000,  45.79677828 
  0.00000017, 942141572726512896.00000000,  46.55011118 
  0.00000018, 927407922700491264.00000000,  47.28964879 
  0.00000019, 913402308257356544.00000000,  48.01476256 
  0.00000020, 900091173477559040.00000000,  48.72483615 
  0.00000021, 887443267836676608.00000000,  49.41926604 
  0.00000022, 875429477102716544.00000000,  50.09746199 
  0.00000023, 864022669399684608.00000000,  50.75884754 
  0.00000024, 853197554954671232.00000000,  51.40286056 
  0.00000025, 842930558210013696.00000000,  52.02895366 
  0.00000026, 833199701126941952.00000000,  52.63659467 
  0.00000027, 823984496634522112.00000000,  53.22526713 
  0.00000028, 815265851290378496.00000000,  53.79447070 
  0.00000029, 807025976319260672.00000000,  54.34372156 
  0.00000030, 799248306283702656.00000000,  54.87255287 
  0.00000031, 791917424719399936.00000000,  55.38051516 
  0.00000032, 785018996137560704.00000000,  55.86717667 
  0.00000033, 778539703858483072.00000000,  56.33212375 
  0.00000034, 772467193196039168.00000000,  56.77496123 
  0.00000035, 766790019562204160.00000000,  57.19531270 
  0.00000036, 761497601105246208.00000000,  57.59282088 
  0.00000037, 756580175534922112.00000000,  57.96714791 
  0.00000038, 752028760823968768.00000000,  58.31797563 
  0.00000039, 747835119507591040.00000000,  58.64500583 
  0.00000040, 743991726331824000.00000000,  58.94796056 
  0.00000041, 740491739028372480.00000000,  59.22658233 
  0.00000042, 737328972017598592.00000000,  59.48063430 
  0.00000043, 734497872863563904.00000000,  59.70990055 
  0.00000044, 731993501325195264.00000000,  59.91418621 
  0.00000045, 729811510866478080.00000000,  60.09331764 
  0.00000046, 727948132505680896.00000000,  60.24714260 
  0.00000047, 726400160899936640.00000000,  60.37553032 
  0.00000048, 725164942576415872.00000000,  60.47837170 
  0.00000049, 724240366235579008.00000000,  60.55557932 
  0.00000050, 723624855065532544.00000000,  60.60708755 
  0.00000051, 723317361019291008.00000000,  60.63285261 
  0.00000052, 723317361019291008.00000000,  60.63285261 
  0.00000053, 723624855065532544.00000000,  60.60708755 
  0.00000054, 724240366235579008.00000000,  60.55557932 
  0.00000055, 725164942576415872.00000000,  60.47837170 
  0.00000056, 726400160899936640.00000000,  60.37553032 
  0.00000057, 727948132505680896.00000000,  60.24714260 
  0.00000058, 729811510866478080.00000000,  60.09331764 
  0.00000059, 731993501325195264.00000000,  59.91418621 
  0.00000060, 734497872863563904.00000000,  59.70990055 
  0.00000061, 737328972017598592.00000000,  59.48063430 
  0.00000062, 740491739028372480.00000000,  59.22658233 
  0.00000063, 743991726331824000.00000000,  58.94796056 
  0.00000064, 747835119507591040.00000000,  58.64500583 
  0.00000065, 752028760823968768.00000000,  58.31797563 
  0.00000066, 756580175534922112.00000000,  57.96714791 
  0.00000067, 761497601105246208.00000000,  57.59282088 
  0.00000068, 766790019562204160.00000000,  57.19531270 
  0.00000069, 772467193196039168.00000000,  56.77496123 
  0.00000070, 778539703858483072.00000000,  56.33212375 
