Surface Bias =  -0.48756946, 	, 	 
Distance along fin(cm), Electron Density(per cm3), Hole Density(per cm3)
  0.00000000,   0.00000000,   0.00000000 
  0.00000001,   0.21982142, 10483896927975258.00000000 
  0.00000002,   0.86191247, 42319558981492008.00000000 
  0.00000003,   1.88830183, 96308643693083632.00000000 
  0.00000004,   3.25224567, 173368380957221600.00000000 
  0.00000005,   4.90362153, 274368158349214112.00000000 
  0.00000006,   6.79210823, 400001509743856896.00000000 
  0.00000007,   8.86909557, 550675523697208960.00000000 
  0.00000008,  11.08878089, 726412623219455360.00000000 
  0.00000009,  13.40872798, 926764252205888768.00000000 
  0.00000010,  15.79007172, 1150738083858396544.00000000 
  0.00000011,  18.19749490, 1396741368851297024.00000000 
  0.00000012,  20.59906695, 1662543428979649792.00000000 
  0.00000013,  22.96600739, 1945260252364017408.00000000 
  0.00000014,  25.27241805, 2241363738665401344.00000000 
  0.00000015,  27.49501402, 2546717426136538112.00000000 
  0.00000016,  29.61287278, 2856639552116918272.00000000 
  0.00000017,  31.60721346, 3165993108717642752.00000000 
  0.00000018,  33.46121216, 3469301223247252992.00000000 
  0.00000019,  35.15985538, 3760884799543446528.00000000 
  0.00000020,  36.68983014, 4035017994106604032.00000000 
  0.00000021,  38.03944753, 4286095868140184576.00000000 
  0.00000022,  39.19859474, 4508807550774267392.00000000 
  0.00000023,  40.15870996, 4698307558469096448.00000000 
  0.00000024,  40.91277412, 4850377612305006592.00000000 
  0.00000025,  41.45531363, 4961571425324103680.00000000 
  0.00000026,  41.78240861, 5029335512510844928.00000000 
  0.00000027,  41.89170242, 5052100088675396608.00000000 
  0.00000028,  41.78240861, 5029335512510846976.00000000 
  0.00000029,  41.45531363, 4961571425324103680.00000000 
  0.00000030,  40.91277412, 4850377612305006592.00000000 
  0.00000031,  40.15870996, 4698307558469096448.00000000 
  0.00000032,  39.19859474, 4508807550774268928.00000000 
  0.00000033,  38.03944753, 4286095868140186112.00000000 
  0.00000034,  36.68983014, 4035017994106606592.00000000 
  0.00000035,  35.15985538, 3760884799543447552.00000000 
  0.00000036,  33.46121216, 3469301223247255552.00000000 
  0.00000037,  31.60721346, 3165993108717645824.00000000 
  0.00000038,  29.61287278, 2856639552116919808.00000000 
  0.00000039,  27.49501402, 2546717426136540160.00000000 
  0.00000040,  25.27241805, 2241363738665402624.00000000 
  0.00000041,  22.96600739, 1945260252364018944.00000000 
  0.00000042,  20.59906695, 1662543428979651840.00000000 
  0.00000043,  18.19749490, 1396741368851298816.00000000 
  0.00000044,  15.79007172, 1150738083858397952.00000000 
  0.00000045,  13.40872798, 926764252205890432.00000000 
  0.00000046,  11.08878089, 726412623219456512.00000000 
  0.00000047,   8.86909557, 550675523697210048.00000000 
  0.00000048,   6.79210823, 400001509743857728.00000000 
  0.00000049,   4.90362153, 274368158349214688.00000000 
  0.00000050,   3.25224567, 173368380957221952.00000000 
  0.00000051,   1.88830183, 96308643693083840.00000000 
  0.00000052,   0.86191247, 42319558981492104.00000000 
  0.00000053,   0.21982142, 10483896927975280.00000000 
  0.00000054,   0.00000000,   0.00000000 
Surface Bias =  -0.52714841, 	, 	 
Distance along fin(cm), Electron Density(per cm3), Hole Density(per cm3)
  0.00000000,   0.00000000,   0.00000000 
  0.00000001,   0.08775857, 19737645616280416.00000000 
  0.00000002,   0.34445981, 79864516261155536.00000000 
  0.00000003,   0.75614791, 182409817661469248.00000000 
  0.00000004,   1.30608633, 329894894583805440.00000000 
  0.00000005,   1.97664189, 524983017019865088.00000000 
  0.00000006,   2.75027707, 770190220734507264.00000000 
  0.00000007,   3.61006338, 1067618479782347008.00000000 
  0.00000008,   4.53991092, 1418700049491478016.00000000 
  0.00000009,   5.52462720, 1823952531351457536.00000000 
  0.00000010,   6.54987681, 2282749894260345856.00000000 
  0.00000011,   7.60208935, 2793118173642207232.00000000 
  0.00000012,   8.66834759, 3351566705495411712.00000000 
  0.00000013,   9.73627783, 3952966773914294272.00000000 
  0.00000014,  10.79395695, 4590489487273233408.00000000 
  0.00000015,  11.82984577, 5255613522685574144.00000000 
  0.00000016,  12.83275430, 5938211080259240960.00000000 
  0.00000017,  13.79184139, 6626717017902796800.00000000 
  0.00000018,  14.69664878, 7308381830076261376.00000000 
  0.00000019,  15.53716724, 7969604124650161152.00000000 
  0.00000020,  16.30393068, 8596332872735390720.00000000 
  0.00000021,  16.98813226, 9174524369715753984.00000000 
  0.00000022,  17.58175557, 9690634015055632384.00000000 
  0.00000023,  18.07771251, 10132119165150855168.00000000 
  0.00000024,  18.46997945, 10487926866647269376.00000000 
  0.00000025,  18.75372302, 10748939571929364480.00000000 
  0.00000026,  18.92540755, 10908353167381460992.00000000 
  0.00000027,  18.98287722, 10961964826989819904.00000000 
  0.00000028,  18.92540755, 10908353167381465088.00000000 
  0.00000029,  18.75372302, 10748939571929366528.00000000 
  0.00000030,  18.46997945, 10487926866647271424.00000000 
  0.00000031,  18.07771251, 10132119165150861312.00000000 
  0.00000032,  17.58175557, 9690634015055640576.00000000 
  0.00000033,  16.98813226, 9174524369715764224.00000000 
  0.00000034,  16.30393068, 8596332872735400960.00000000 
  0.00000035,  15.53716724, 7969604124650169344.00000000 
  0.00000036,  14.69664878, 7308381830076272640.00000000 
  0.00000037,  13.79184139, 6626717017902813184.00000000 
  0.00000038,  12.83275430, 5938211080259256320.00000000 
  0.00000039,  11.82984577, 5255613522685588480.00000000 
  0.00000040,  10.79395695, 4590489487273244672.00000000 
  0.00000041,   9.73627783, 3952966773914304000.00000000 
  0.00000042,   8.66834759, 3351566705495421440.00000000 
  0.00000043,   7.60208935, 2793118173642214912.00000000 
  0.00000044,   6.54987681, 2282749894260352768.00000000 
  0.00000045,   5.52462720, 1823952531351462912.00000000 
  0.00000046,   4.53991092, 1418700049491482624.00000000 
  0.00000047,   3.61006338, 1067618479782350208.00000000 
  0.00000048,   2.75027707, 770190220734509568.00000000 
  0.00000049,   1.97664189, 524983017019866752.00000000 
  0.00000050,   1.30608633, 329894894583806528.00000000 
  0.00000051,   0.75614791, 182409817661469792.00000000 
  0.00000052,   0.34445981, 79864516261155792.00000000 
  0.00000053,   0.08775857, 19737645616280480.00000000 
  0.00000054,   0.00000000,   0.00000000 
Surface Bias =  -0.55774056, 	, 	 
Distance along fin(cm), Electron Density(per cm3), Hole Density(per cm3)
  0.00000000,   0.00000000,   0.00000000 
  0.00000001,   0.04850727, 26813654145786788.00000000 
  0.00000002,   0.19068399, 108749818879087056.00000000 
  0.00000003,   0.41968272, 249271985689149632.00000000 
  0.00000004,   0.72757304, 452912159822169152.00000000 
  0.00000005,   1.10620976, 724754172033744640.00000000 
  0.00000006,   1.54761572, 1069990541630454272.00000000 
  0.00000007,   2.04411966, 1493491806458234624.00000000 
  0.00000008,   2.58835943, 1999368602984187392.00000000 
  0.00000009,   3.17321217, 2590524282195013632.00000000 
  0.00000010,   3.79168900, 3268206451732834304.00000000 
  0.00000011,   4.43681889, 4031573560024353280.00000000 
  0.00000012,   5.10153812, 4877298552844143616.00000000 
  0.00000013,   5.77859755, 5799235848910360576.00000000 
  0.00000014,   6.46049604, 6788180146174363648.00000000 
  0.00000015,   7.13944649, 7831745514581297152.00000000 
  0.00000016,   7.80737891, 8914390513628791808.00000000 
  0.00000017,   8.45598275, 10017609493947437056.00000000 
  0.00000018,   9.07678914, 11120301832546701312.00000000 
  0.00000019,   9.66129107, 12199319940631097344.00000000 
  0.00000020,  10.20109762, 13230184131584884736.00000000 
  0.00000021,  10.68811565, 14187938825471754240.00000000 
  0.00000022,  11.11475042, 15048111333125406720.00000000 
  0.00000023,  11.47411453, 15787722988502456320.00000000 
  0.00000024,  11.76023364, 16386294049382639616.00000000 
  0.00000025,  11.96823641, 16826779736095969280.00000000 
  0.00000026,  12.09451702, 17096375825723779072.00000000 
  0.00000027,  12.13685972, 17187138648316200960.00000000 
  0.00000028,  12.09451702, 17096375825723779072.00000000 
  0.00000029,  11.96823641, 16826779736095969280.00000000 
  0.00000030,  11.76023364, 16386294049382639616.00000000 
  0.00000031,  11.47411453, 15787722988502456320.00000000 
  0.00000032,  11.11475042, 15048111333125406720.00000000 
  0.00000033,  10.68811565, 14187938825471760384.00000000 
  0.00000034,  10.20109762, 13230184131584888832.00000000 
  0.00000035,   9.66129107, 12199319940631101440.00000000 
  0.00000036,   9.07678914, 11120301832546709504.00000000 
  0.00000037,   8.45598275, 10017609493947445248.00000000 
  0.00000038,   7.80737891, 8914390513628798976.00000000 
  0.00000039,   7.13944649, 7831745514581305344.00000000 
  0.00000040,   6.46049604, 6788180146174371840.00000000 
  0.00000041,   5.77859755, 5799235848910369792.00000000 
  0.00000042,   5.10153812, 4877298552844149760.00000000 
  0.00000043,   4.43681889, 4031573560024358912.00000000 
  0.00000044,   3.79168900, 3268206451732837888.00000000 
  0.00000045,   3.17321217, 2590524282195017216.00000000 
  0.00000046,   2.58835943, 1999368602984188928.00000000 
  0.00000047,   2.04411966, 1493491806458235648.00000000 
  0.00000048,   1.54761572, 1069990541630455168.00000000 
  0.00000049,   1.10620976, 724754172033745152.00000000 
  0.00000050,   0.72757304, 452912159822169600.00000000 
  0.00000051,   0.41968272, 249271985689149824.00000000 
  0.00000052,   0.19068399, 108749818879087104.00000000 
  0.00000053,   0.04850727, 26813654145786800.00000000 
  0.00000054,   0.00000000,   0.00000000 
Surface Bias =  -0.58445637, 	, 	 
Distance along fin(cm), Electron Density(per cm3), Hole Density(per cm3)
  0.00000000,   0.00000000,   0.00000000 
  0.00000001,   0.03063117, 32296712945112540.00000000 
  0.00000002,   0.12064503, 131264443219916032.00000000 
  0.00000003,   0.26637318, 301865652047422592.00000000 
  0.00000004,   0.46377757, 550828038810113024.00000000 
  0.00000005,   0.70888219, 885996385942957184.00000000 
  0.00000006,   0.99790944, 1315761554794600704.00000000 
  0.00000007,   1.32727532, 1848481451633704192.00000000 
  0.00000008,   1.69351141, 2491862188365450240.00000000 
  0.00000009,   2.09315024, 3252291885545961472.00000000 
  0.00000010,   2.52259595, 4134135871482839040.00000000 
  0.00000011,   2.97799477, 5139015461069519872.00000000 
  0.00000012,   3.45511574, 6265104258043160576.00000000 
  0.00000013,   3.94925069, 7506485862945082368.00000000 
  0.00000014,   4.45514056, 8852624222932263936.00000000 
  0.00000015,   4.96693524, 10288001592762081280.00000000 
  0.00000016,   5.47819231, 11791978120491927552.00000000 
  0.00000017,   5.98191949, 13338920550678013952.00000000 
  0.00000018,   6.47066327, 14898634989232949248.00000000 
  0.00000019,   6.93664395, 16437120247410089984.00000000 
  0.00000020,   7.37193427, 17917634885500837888.00000000 
  0.00000021,   7.76867551, 19302044429045825536.00000000 
  0.00000022,   8.11932148, 20552387790977277952.00000000 
  0.00000023,   8.41689764, 21632576688571899904.00000000 
  0.00000024,   8.65526041, 22510121961933971456.00000000 
  0.00000025,   8.82933992, 23157769088749502464.00000000 
  0.00000026,   8.93535008, 23554924027335712768.00000000 
  0.00000027,   8.97095071, 23688760844745383936.00000000 
  0.00000028,   8.93535008, 23554924027335712768.00000000 
  0.00000029,   8.82933992, 23157769088749502464.00000000 
  0.00000030,   8.65526041, 22510121961933967360.00000000 
  0.00000031,   8.41689764, 21632576688571899904.00000000 
  0.00000032,   8.11932148, 20552387790977277952.00000000 
  0.00000033,   7.76867551, 19302044429045825536.00000000 
  0.00000034,   7.37193427, 17917634885500844032.00000000 
  0.00000035,   6.93664395, 16437120247410094080.00000000 
  0.00000036,   6.47066327, 14898634989232955392.00000000 
  0.00000037,   5.98191949, 13338920550678016000.00000000 
  0.00000038,   5.47819231, 11791978120491931648.00000000 
  0.00000039,   4.96693524, 10288001592762089472.00000000 
  0.00000040,   4.45514056, 8852624222932268032.00000000 
  0.00000041,   3.94925069, 7506485862945087488.00000000 
  0.00000042,   3.45511574, 6265104258043166720.00000000 
  0.00000043,   2.97799477, 5139015461069524992.00000000 
  0.00000044,   2.52259595, 4134135871482843648.00000000 
  0.00000045,   2.09315024, 3252291885545965056.00000000 
  0.00000046,   1.69351141, 2491862188365453824.00000000 
  0.00000047,   1.32727532, 1848481451633707008.00000000 
  0.00000048,   0.99790944, 1315761554794603264.00000000 
  0.00000049,   0.70888219, 885996385942958976.00000000 
  0.00000050,   0.46377757, 550828038810114112.00000000 
  0.00000051,   0.26637318, 301865652047423232.00000000 
  0.00000052,   0.12064503, 131264443219916336.00000000 
  0.00000053,   0.03063117, 32296712945112608.00000000 
  0.00000054,   0.00000000,   0.00000000 
Surface Bias =  -0.60881696, 	, 	 
Distance along fin(cm), Electron Density(per cm3), Hole Density(per cm3)
  0.00000000,   0.00000000,   0.00000000 
  0.00000001,   0.02097077, 36827004718727568.00000000 
  0.00000002,   0.08278122, 149940495876035552.00000000 
  0.00000003,   0.18342068, 345773608688536640.00000000 
  0.00000004,   0.32085273, 633272171721859200.00000000 
  0.00000005,   0.49323189, 1023150101655497472.00000000 
  0.00000006,   0.69892926, 1527221436020693248.00000000 
  0.00000007,   0.93647014, 2157698662793272832.00000000 
  0.00000008,   1.20442714, 2926410272498339840.00000000 
  0.00000009,   1.50129110, 3843920703085835264.00000000 
  0.00000010,   1.82533308, 4918557922965359616.00000000 
  0.00000011,   2.17446675, 6155373799724969984.00000000 
  0.00000012,   2.54611865, 7555081493901051904.00000000 
  0.00000013,   2.93711416, 9113031952491804672.00000000 
  0.00000014,   3.34358664, 10818306745563942912.00000000 
  0.00000015,   3.76091809, 12653015021731280896.00000000 
  0.00000016,   4.18371904, 14591886060897472512.00000000 
  0.00000017,   4.60585511, 16602243727914989568.00000000 
  0.00000018,   5.02052547, 18644433594224672768.00000000 
  0.00000019,   5.42039635, 20672747102146347008.00000000 
  0.00000020,   5.79778858, 22636850763712995328.00000000 
  0.00000021,   6.14491402, 24483684460264161280.00000000 
  0.00000022,   6.45415106, 26159745460110843904.00000000 
  0.00000023,   6.71834443, 27613629088052903936.00000000 
  0.00000024,   6.93111112, 28798659012738494464.00000000 
  0.00000025,   7.08713136, 29675415624506404864.00000000 
  0.00000026,   7.18240334, 30213964553409327104.00000000 
  0.00000027,   7.21444163, 30395601551658180608.00000000 
  0.00000028,   7.18240334, 30213964553409327104.00000000 
  0.00000029,   7.08713136, 29675415624506413056.00000000 
  0.00000030,   6.93111112, 28798659012738502656.00000000 
  0.00000031,   6.71834443, 27613629088052912128.00000000 
  0.00000032,   6.45415106, 26159745460110864384.00000000 
  0.00000033,   6.14491402, 24483684460264198144.00000000 
  0.00000034,   5.79778858, 22636850763713028096.00000000 
  0.00000035,   5.42039635, 20672747102146375680.00000000 
  0.00000036,   5.02052547, 18644433594224701440.00000000 
  0.00000037,   4.60585511, 16602243727915018240.00000000 
  0.00000038,   4.18371904, 14591886060897499136.00000000 
  0.00000039,   3.76091809, 12653015021731309568.00000000 
  0.00000040,   3.34358664, 10818306745563969536.00000000 
  0.00000041,   2.93711416, 9113031952491828224.00000000 
  0.00000042,   2.54611865, 7555081493901073408.00000000 
  0.00000043,   2.17446675, 6155373799724986368.00000000 
  0.00000044,   1.82533308, 4918557922965373952.00000000 
  0.00000045,   1.50129110, 3843920703085844480.00000000 
  0.00000046,   1.20442714, 2926410272498347520.00000000 
  0.00000047,   0.93647014, 2157698662793278464.00000000 
  0.00000048,   0.69892926, 1527221436020696832.00000000 
  0.00000049,   0.49323189, 1023150101655499776.00000000 
  0.00000050,   0.32085273, 633272171721860608.00000000 
  0.00000051,   0.18342068, 345773608688537472.00000000 
