Fin Width, Surface Bias, Fitting Factor Initial Guess, Optimized Fitting Factor 
3.2nm,  -0.52346991,   0.50000000,   0.26181603 
3.2nm,  -0.55655644,   0.50000000,   0.23011848 
3.2nm,  -0.58116852,   0.50000000,   0.20788530 
3.2nm,  -0.60241874,   0.50000000,   0.19272448 
3.2nm,  -0.62182241,   0.50000000,   0.18249552 
3.9nm,  -0.50711517,   1.00000000,   0.66871692 
3.9nm,  -0.54188114,   1.00000000,   0.61502243 
3.9nm,  -0.56810351,   1.00000000,   0.57350559 
3.9nm,  -0.59089460,   1.00000000,   0.54317482 
3.9nm,  -0.61176810,   1.00000000,   0.52254077 
5.4nm,  -0.48756946,   1.50000000,   1.94347347 
5.4nm,  -0.52714841,   1.50000000,   1.82669432 
5.4nm,  -0.55774056,   1.50000000,   1.75133698 
5.4nm,  -0.58445637,   1.50000000,   1.71431882 
5.4nm,  -0.60881696,   1.50000000,   1.71138974 
8.7nm,  -0.47804926,   2.00000000,   5.80247521 
8.7nm,  -0.52359714,   2.00000000,   6.02297480 
8.7nm,  -0.55846100,   2.00000000,   6.52759562 
8.7nm,  -0.58815556,   2.00000000,   7.24956033 
8.7nm,  -0.61454138,   2.00000000,   8.13995102 
